fecha,mp25_ugm3,mp10_ugm3,so2_ppb,cov_ppb,temperatura_c,humedad_pct
2026-05-29 10:43:18,0,0,,,,
2026-05-29 10:44:04,0,0,,,,
2026-05-29 10:46:54,0,0,,,,
2026-05-29 10:47:31,0,0,,,,
2026-05-29 10:48:54,0,0,,,,
2026-05-29 10:51:39,0,0,,,,
2026-05-29 12:08:48,17,18,,,21.294,32.594
2026-05-29 12:08:55,18,20,,,21.523,31.253
2026-05-29 12:15:10,7,7,,,21.737,32.93
2026-05-29 12:18:47,13,13,,,22.063,31.972
2026-05-29 12:23:47,21,23,,,24.434,28.068
2026-05-29 12:28:48,17,19,,,26.017,26.786
2026-05-29 12:33:47,22,25,,,27.174,26.006
2026-05-29 12:38:47,22,22,,,28.506,24.959
2026-05-29 12:43:47,21,21,,,29.94,24.24
2026-05-29 12:48:48,21,23,,,31.286,23.234
2026-05-29 12:53:47,25,26,,,32.779,22.517
2026-05-29 12:58:47,34,38,,,34.063,21.863
2026-05-29 13:03:48,38,46,,,34.971,21.998
2026-05-29 13:08:47,35,40,,,35.356,21.438
2026-05-29 13:13:47,38,47,,,35.105,21.646
2026-05-29 13:18:47,36,45,,,34.68,21.823
2026-05-29 13:23:48,37,44,,,33.946,22.578
2026-05-29 13:28:47,38,46,,,33.233,23.086
2026-05-29 13:33:48,38,47,,,32.546,23.768
2026-05-29 13:38:48,42,50,,,31.777,24.497
2026-05-29 13:43:48,45,58,,,31.112,25.083
2026-05-29 13:48:47,46,57,,,30.431,25.811
2026-05-29 13:53:48,49,61,,,29.86,26.349
2026-05-29 13:58:48,48,61,,,29.379,26.683
2026-05-29 14:03:48,46,57,,,28.963,27.143
2026-05-29 14:08:48,49,60,,,28.528,27.768
2026-05-29 14:13:48,67,77,,,28.103,28.405
2026-05-29 14:18:48,49,63,,,27.823,28.937
2026-05-29 14:23:48,47,61,,,27.526,29.151
2026-05-29 14:28:47,47,60,,,27.302,29.445
2026-05-29 14:33:48,47,57,,,27.07,29.698
2026-05-29 14:38:48,47,57,,,26.837,29.925
2026-05-29 14:43:48,47,61,,,26.64,30.114
2026-05-29 14:48:48,47,60,,,26.453,30.212
2026-05-29 14:53:48,45,56,,,26.292,30.326
2026-05-29 14:58:48,45,56,,,26.092,30.206
2026-05-29 15:03:48,45,56,,,25.961,30.341
2026-05-29 15:08:48,46,57,,,25.83,30.715
2026-05-29 15:13:48,45,57,,,25.705,30.271
2026-05-29 15:18:47,48,61,,,25.657,30.131
2026-05-29 15:23:48,46,59,,,25.601,30.412
2026-05-29 15:28:48,48,62,,,25.518,31.64
2026-05-29 15:30:20,43,50,,,24.834,34.547
2026-05-29 15:32:58,48,62,,,24.605,33.174
2026-05-29 15:34:20,47,65,,,24.738,33.961
2026-05-29 15:35:50,64,77,,,24.792,32.897
2026-05-29 15:36:12,48,62,,,25.123,31.625
